Date,BCE.TO,RCI.B.TO,TRI.TO,QBR.B.TO,TCL.A.TO,CCA.TO,T.TO
2016-08-31,-0.012488656,-0.002844874,-0.001656107,0.005500196,0.027456731,0.007117491,-0.005794193
2016-09-01,0.00130473,0.011331707,0.008799547,-0.004748546,-0.004698575,0.011595029,0.0140796
2016-09-02,0.008278555,0.007367152,0.004734038,0.00649201,0.004698575,0.006521973,0.006624743
2016-09-06,-0.001293966,-0.002800154,-0.009490784,0.006202771,0.001561374,0.001082685,-0.002964179
2016-09-07,-0.002917788,-0.017112633,-0.003858296,-0.011693299,-0.013086095,-0.017624894,-0.010206755
2016-09-08,0.002593905,-0.005950999,-0.007205829,-0.009302317,-0.005812095,0.002671224,-0.004439602
2016-09-09,-0.013366176,-0.009632173,-0.016640283,-0.008879678,-0.047757338,-0.010253031,-0.015815408
2016-09-12,0.005727013,-0.000182602,0.016269477,0.006350827,-0.005015473,0.001900689,0.001664308
2016-09-13,-0.011400088,-0.003109818,-0.011192083,-0.014796301,-0.000558768,-0.008103421,-0.009546603
2016-09-14,0.003498681,0.001830528,-0.00037541,0.022867031,0.018826538,0.007470412,0
2016-09-15,0.005803507,0.023675003,0.008409209,0.000251036,-0.008261932,-0.003649155,0.010258653
2016-09-16,-0.007801386,-0.019659802,0.019349962,-0.005540123,0.014277933,0.001429745,-0.002376358
2016-09-19,0.000666537,0.009607797,-0.018234151,-0.002022323,-0.018712635,0.00931962,0.000238073
2016-09-20,0.004320311,0.005935579,0.007407283,0.002022323,-0.013423176,0.014672035,0.007346977
2016-09-21,0.003971387,0.00125471,-0.005179388,-0.003541603,-0.00394914,0,0.008932539
2016-09-22,0.007895868,0.003754394,0.014727942,0.003541603,0.025670738,0.011706717,0.006298942
2016-09-23,-0.006575413,-0.006624254,-0.004395876,0.003277262,-0.007188101,-0.013412558,-0.001862183
2016-09-26,0.000989137,0.002153144,-0.006814543,-0.002015519,-0.012283724,-0.008572974,0.001397278
2016-09-27,-0.001484072,0.005184902,-0.001294676,0.004027344,-0.009596464,0.003281874,0.000697609
2016-09-28,-0.000495255,-0.000356912,0,0.004761037,0.014080882,0.016711213,0.00487074
2016-09-29,0.006254078,-0.000178549,-0.005008634,0.003743324,0.00872138,-0.004306147,0.00138719
2016-09-30,-0.005924046,-0.006982385,0.008887075,-0.006998488,-0.012968848,-0.002005068,0.000231066
2016-10-03,-0.00132113,-0.001438237,0.001474045,0,-0.007405461,0.001388415,0.000461907
2016-10-04,-0.005302366,-0.003785365,-0.003688372,0.001002378,-0.010922949,-0.002315588,-0.00486066
2016-10-05,-0.005330731,-0.004525519,0.00331975,-0.010832296,0.005189076,-0.010097177,-0.006984622
2016-10-06,0.001668813,0.002536884,-0.003135178,-0.004060894,-0.00287923,-0.000312166,0.001400593
2016-10-07,-0.009045168,-0.019368451,-0.006113625,-0.014602781,0.00287923,-0.014155479,-0.013151934
2016-10-11,0.004700107,0.000737827,-0.021983162,-0.019807683,-0.001726428,-0.001902715,0.000945341
2016-10-12,0.010495632,0.005148765,0.002656212,0.00026325,0.003449881,0.000317139,0.011272861
2016-10-13,0.000662967,0.001832797,-0.002656212,0.00131521,-0.001723453,-0.010205732,0.000700348
2016-10-14,-0.001325926,-0.005139664,-0.006288556,-0.008976086,-0.003456254,-0.000962109,-0.003272451
2016-10-17,-0.001659772,-0.00239527,-0.00153064,0.004497862,-0.000577027,0.002243657,-0.006577272
2016-10-18,0.006127541,0.006068756,0.00057424,0.007626876,0.050108621,0.010034233,0.008682515
2016-10-19,0.001319822,-0.010505968,-0.001915623,-0.002886257,-0.005506302,-0.004924983,-0.002339447
2016-10-20,-0.00098979,-0.005201538,0.00363644,0.001313076,-0.001104955,-0.002711162,-0.004694572
2016-10-21,0.004446433,0.007237659,0.011773517,-0.003153932,-0.004987543,-0.00400027,0.009833512
2016-10-24,0.004426627,-0.003890563,0.003580762,-0.011649405,0.009400058,-0.002729363,0.004881194
2016-10-25,-0.009203091,-0.00876324,-0.009450292,0.008221341,-0.012181975,0.008803452,-0.005113853
2016-10-26,-0.000991097,0.001310459,0.007567398,0.005006524,0.005001561,-0.001115863,0.000465996
2016-10-27,-0.000661369,0.000560743,-0.001886518,-0.006592219,-0.000554311,0.002230842,0.00673229
2016-10-28,0.000991926,0.00298628,-0.001322905,-0.008501591,-0.008913808,-0.002869384,0.001155872
2016-10-31,0.006750911,0.005574926,-0.000567203,0.004259957,0.003909467,-0.001277987,0.003691127
2016-11-01,-0.010889859,-0.003155609,0.038776646,-0.015259548,-0.018565888,-0.006897098,-0.002997664
2016-11-02,-0.006657697,-0.012533743,-0.000910149,-0.002701187,-0.004553316,-0.00403172,-0.016063745
2016-11-03,-0.004183871,0.002068285,-0.001640659,-0.002436999,-0.005147119,0.000807451,-0.004940641
2016-11-04,-0.006055304,-0.009626884,-0.000182598,0.009713845,-0.003446655,0.004832634,0
2016-11-07,0.00722891,0.000568718,0.011611339,0.001341713,0.015415755,-0.003864152,0.013353704
2016-11-08,-0.001676743,-0.002087391,-0.001805388,0.0016073,0.002263932,0.003703174,0.001162925
2016-11-09,-0.006734014,-0.017631745,0.00971045,0.003208144,0.002822264,0.00176654,-0.010515202
2016-11-10,-0.025837617,-0.018539168,0.008375702,-0.001602594,0.010095516,-0.012918273,-0.016102685
2016-11-11,-0.004168681,-0.002760798,-0.003555552,-0.011020609,0.006119852,0.005834104,-0.004545961
2016-11-14,-0.008741394,0.003745514,0.003378128,-0.00650696,-0.017343383,-0.001791721,-0.011335194
2016-11-15,0.016198358,0.013097589,-0.000202067,-0.001088903,-0.003958182,0.024633153,0.009414833
2016-11-16,0.001208473,0.005229957,0.001967518,0.001498389,-0.001700975,-0.007022034,0.001440548
2016-11-17,0.008248874,0.001930163,0.011371832,0.023410007,0.003964907,0.016203745,0.007648432
2016-11-18,0.001197489,-0.006771907,0.006515997,0.006627074,0.022912316,0.002361066,-0.004055774
2016-11-21,-0.008929008,0.003294957,-0.002108828,0,0.01044252,0.008453436,0.003579185
2016-11-22,-0.005187461,0.004248057,0.008582464,-0.000528323,0.0301586,-0.002028963,-0.000714935
2016-11-23,0.002942683,-0.00192887,0.001742269,-0.005035481,0.009503696,-0.000780988,0.007362547
2016-11-24,0.001727423,0.004430226,0.0055559,0.002653334,-0.005268635,-0.000782125,0.001891509
2016-11-25,0.003617093,0.005558288,0.00500796,-0.00132585,-0.007423188,0.002812205,0.002358642
2016-11-28,-0.000343643,0.000764597,-0.001723945,-0.009061784,0,-0.00046811,-0.003776854
2016-11-29,0.006343858,0.003050714,0.005334935,0.002674035,-0.000532635,0.010094083,0.003069939
2016-11-30,-0.010653212,-0.011874955,-0.004645088,-0.028163061,-0.006946069,-0.002630457,-0.010667392
2016-12-01,-0.014616519,-0.024577347,-0.009007473,-0.020533995,-0.00483719,-0.009338357,-0.008616583
2016-12-02,0.00559339,0.00904284,0.001043384,-0.008163067,0.001076528,-0.001408383,0.011709966
2016-12-05,0.005042112,0.000195843,0.000173721,0.000847598,0.013896705,0.006555483,0.002372906
2016-12-06,0.0008668,-0.00078303,0.000173935,0.030043806,0.036992824,0.001243461,0.002131163
2016-12-07,0.010171807,0.02551866,0.014319102,0.001916848,0.065337568,0.005423523,0.007151515
2016-12-08,-0.00034341,0.000577397,-0.000171221,0.005999339,0.026012284,0.004625461,0.006156788
2016-12-09,0.002056918,-0.00676138,0.010735313,0.001086768,0.00790539,-0.001539444,0.003299784
2016-12-12,0.007676306,0.007339074,-0.000678098,0.011610844,0.011970428,0.002922777,0.002115043
2016-12-13,-0.001669413,0.004607188,0.010292682,-0.006733986,0.005477401,-0.000307044,0.009348217
2016-12-14,-0.014570777,-0.009042528,-0.00033563,0.002159967,0.004994128,0.003680821,-0.01099293
2016-12-15,0.00244319,-0.006982164,-0.002522367,-0.0051374,-0.014598703,0.003667475,0.002348867
2016-12-16,-0.001570145,-0.009975757,-0.003879178,0.005676535,0.026305351,0.006840695,0.000703725
2016-12-19,0.002093075,0.016764554,0.001182157,0.004303481,0.000894777,-0.009742859,0.003043566
2016-12-20,-0.000348494,-0.010298406,0.000506273,-0.003764829,-0.016685779,0.008529932,-0.009394188
2016-12-21,0.001393043,0.005842247,0.002527569,0.00671261,-0.009595538,-0.008376898,-0.000235947
2016-12-22,0.011764971,0.010815053,0.00016826,0.007464431,-0.003680062,0.010044105,0.006821035
2016-12-23,0.00206184,0.000192045,0.000336565,-0.0050593,0.031302331,0.001361848,0.002575162
2016-12-28,-0.003610893,-0.002499926,-0.002863601,-0.006695982,-0.016209468,0.003170388,-0.000467646
2016-12-29,0.004983112,0.007480866,-0.001012653,0.006963074,0.030400174,-0.000150744,0.006295699
2016-12-30,-0.005327704,-0.010372747,-0.00779792,-0.004011337,-0.014983774,-0.001357739,-0.006295699
2017-01-03,0.006869063,0.004431238,0.002888819,-0.002145743,0.008972597,-0.001359434,0.007921837
2017-01-04,0.00409906,0.003837284,0.00118712,0.004821925,0.009335338,0.009778085,0.009699737
2017-01-05,0.00425195,0.008580296,0.004059566,-0.007241602,0.00617543,0.002093644,0.01573392
2017-01-06,-0.006128548,-0.008963488,0.001518308,0.005904534,0.00395003,0.000597422,-0.002718347
2017-01-09,-0.010643977,-0.01544405,-0.006255973,0.019870511,-0.006151072,-0.000597422,-0.003408953
2017-01-10,0.000862734,-0.003898817,0.000847665,0.004449944,0.007464269,-0.004941933,0.000227827
2017-01-11,0.000172263,-0.008040158,0.00236962,-0.006287776,-0.001313196,0.000450264,0.002727253
2017-01-12,0.001895109,0.013493953,-0.002030941,0.006287776,0,0.003893667,-0.002045176
2017-01-13,0.001375657,-0.005649275,0.002707207,0.002086901,-0.003070744,0.04486785,0.003859178
2017-01-16,0.001202174,0.000390751,-0.004402573,0.008822507,0.003070744,0.010661862,-0.00294978
2017-01-17,0.004110919,-0.006072023,-0.007323529,-0.000516952,-0.01589442,-0.014958658,-0.004782947
2017-01-18,-0.0075496,0.020996146,0.005455351,0.005413032,-0.010288712,0.006723474,-0.006183366
2017-01-19,0.00601001,0.000961405,0.005932707,0.006916704,-0.012669605,0.005686615,0.001836004
2017-01-20,0.008863104,0.0146909,0.013929609,-0.001021595,0.001365122,0.008188941,0.005260223
2017-01-23,-0.004080862,0.008110828,-0.007360471,-0.00615232,0.012203846,0.004093973,0.000684148
2017-01-24,0.001191863,0.002626427,-0.00437467,0.002311787,-0.004051572,0.008137693,0.007493936
2017-01-25,-0.007173217,-0.014912635,-0.000843604,0.006647761,0.002702574,0.004879564,-0.005899473
2017-01-26,0.004617526,0.063729697,-0.001350864,0.008627379,-0.010854848,0.00803287,0.004994115
2017-01-27,0.004256267,0.012942574,-0.001184118,-0.001011369,-0.002276197,-0.003731679,-0.004994115
2017-01-30,-0.000509678,-0.002822457,-0.007813665,-0.006851697,-0.008697448,-0.013381487,-0.011905046
2017-01-31,-0.002893916,-0.002830357,-0.005300359,-0.002039449,-0.003685437,-0.003655481,0.000460497
2017-02-01,-0.004613556,-0.001950588,-0.003778789,0.004328831,0.009187377,0.017175507,-0.004152386
2017-02-02,-0.016403985,0.001773266,0.003607093,-0.018462462,0.003195508,-0.004996506,-0.000924975
2017-02-03,-0.000348045,-0.000354268,0.005131015,0.009017378,-0.005484662,0.003472648,0.007835963
2017-02-06,-0.000173848,-0.001773985,-0.004616671,0.006391388,-0.003673203,-0.00249914,0.003666186
2017-02-07,0.005731527,0.001951101,0.005298635,-0.009988624,-0.011100804,-0.003481145,0.007973657
2017-02-08,0.007075391,-0.001951101,0.001533309,0.001286288,0.004177305,0.00195076,0.001813592
2017-02-09,0.000859722,0.007253314,-0.033755001,0.007172198,0.006923499,0.017663405,-0.023142115
2017-02-10,0.001373607,-0.004416612,0.020044534,0.004075178,-0.000459783,-0.005761027,0
2017-02-13,-0.002233329,-0.006216168,0.011665772,-0.010476324,0.003215739,0.00890181,-0.001623858
2017-02-14,-0.002582842,-0.001247691,-0.000341251,0.00102684,-0.018518724,-0.009177649,-0.001859176
2017-02-15,0.011144831,0.008348787,0.001534442,0.001794605,-0.020298076,-0.003583915,0.000930053
2017-02-16,-0.00085292,0.009857553,0.000340576,-0.016269018,0.009492341,0.012625324,0.007870296
2017-02-17,0.002726465,0.007503626,0.002551105,-0.00391279,0.016861942,0.004218464,0.012829488
2017-02-21,0.000680507,-0.001217521,-0.001724606,-0.014479679,-0.011209622,0.001221562,0.000227827
2017-02-22,0.003226211,-0.001567842,-0.029769423,-0.003719376,-0.019445874,-0.007214529,0.005899473
2017-02-23,-0.00271582,-0.003667922,-0.004072779,0.000797957,-0.006727462,-0.003832303,-0.003853609
2017-02-24,-0.011454438,-0.013919655,-0.006765293,-0.012848146,-0.00386478,-0.011864032,-0.013260277
2017-02-27,-0.000687896,0.005485303,0.000714282,0.023167384,-0.012664526,0.000693751,-0.002073593
2017-02-28,-0.003101937,-0.016188171,0.002495943,-0.010851202,-0.008368567,-0.004308301,-0.003233905
2017-03-01,-0.002072881,0.000896237,0.006743772,0.006630715,0.042106692,-0.001951644,-0.000231361
2017-03-02,0.002763194,0.002147951,0.018747578,-0.000793545,0.009903328,-0.006299448,-0.004407049
2017-03-03,0,0.000178758,-0.004000019,-0.004241936,0.045410124,-0.005209616,0
2017-03-06,0.00430262,0.008898306,-0.000697523,0.002918129,0.020857535,0.002256025,0.008103007
2017-03-07,-0.003612859,0.004066919,0.00400331,0.013680833,0,-0.00183258,-0.004622134
2017-03-08,-0.002934581,-0.001235972,0.003987172,-0.006554044,0.003506903,0.00169192,-0.009177691
2017-03-09,0.009462594,-0.00142655,0.002764218,0.005246755,0.01261194,0,0.003775311
2017-03-10,0.003248196,0.004273316,0.003616649,0.013513728,0.02306794,0.007717664,0.004230273
2017-03-13,-0.001764156,-0.000710782,0.001545948,-0.012990544,0.001265969,0.004323786,0.001640369
2017-03-14,-0.009216669,-0.00445511,-0.002750074,-0.00787607,-0.011026133,-0.001950405,-0.004928808
2017-03-15,0.005748618,-0.003937165,0.00103224,0.041053953,0.011447826,0.001950405,0.004694802
2017-03-16,0,0.01494981,0.004973509,0.019291615,0.012984541,-0.002787324,0.000936282
2017-03-17,0.012600674,-0.004426104,-0.008590847,0.003715208,0.003738611,-0.011087385,0.005367277
2017-03-20,-0.012774159,-0.006408038,-0.006405345,-0.016451132,-0.005404484,-0.004951102,-0.00724098
2017-03-21,0.007615068,0.003743066,0.001735276,-0.004786666,-0.016814184,-0.008689096,-0.00140729
2017-03-22,0.012847838,0.003551779,0.002770136,-0.002528309,0.016814184,-0.009775426,0.005384477
2017-03-23,0.00238045,0.006009284,0.007235104,0.011077713,0.014894814,0.011205047,0.003961042
2017-03-24,0.000339378,0.007898041,0.004623836,0.009221104,0.01508067,0.007259475,0.002786994
2017-03-27,0.001526884,0.013199298,-0.003765959,0.003219819,-0.001619222,-0.000993331,0.000695601
2017-03-28,-0.001526884,0.00516271,0.002569158,0.001482735,0.012882477,0.007918351,0
2017-03-29,0,0.001029128,-0.009107399,-0.001113024,-0.0008003,-0.004941718,-0.00023149
2017-03-30,-0.002379068,0.008536951,0.000172656,0.011563724,-0.007697106,-0.006674941,0.00023149
2017-03-31,0.001869721,-0.000340066,-0.007449102,0.003174609,-0.00040694,0.012320554,0.000463142
2017-04-03,0.005420268,0.005089081,0.003644721,0.007772945,-0.002852024,-0.000844556,0.0043916
2017-04-04,0.007907845,0.006072953,-0.003992711,-0.000968025,-0.013141662,-0.001974126,0.008725825
2017-04-05,0,-0.009802463,0.003125973,-0.005829535,0.003301714,-0.004101852,0.011592418
2017-04-06,0.001674182,0.008792823,-0.001387983,0.003889745,-0.011187122,0.004101852,-0.000677988
2017-04-07,0.010485421,0.004870304,0.002427829,-0.000971019,0.006644638,0.04485044,0.001581552
2017-04-10,0.000165522,0.00050238,-0.005035782,0.008465617,0.020889488,0.009268727,0.00248063
2017-04-11,0.003799923,-0.00318661,-0.003837473,0,0.002024557,0.008123047,0.001125545
2017-04-12,0.003785899,0.009529652,-0.002975424,0,-0.006086353,0.011865882,0.00426528
2017-04-13,0,0.005144745,-0.003863422,-0.002894316,-0.011873245,-0.004202782,-0.00426528
2017-04-17,0.006875989,0.00955507,0.012241964,-0.000241754,-0.004954447,0.000263155,0.004936766
2017-04-18,-0.00638329,0.007025832,0.00710141,-0.003387875,-0.011657268,0.006200314,-0.009220506
2017-04-19,0.000492553,0.015188518,0.008592583,-0.000242517,-0.002935925,0.001576839,-0.004755914
2017-04-20,0.005401341,0.002242414,-0.014651685,-0.004374125,-0.009706214,0.006282497,0.003399343
2017-04-21,0.0014679,-0.006098806,-0.000347176,-0.013486305,0.001271091,0.000521811,0.003838881
2017-04-24,0.001140443,0.006578744,0.010711962,0.004188114,-0.005095642,0.003124904,0.004721946
2017-04-25,0.004062287,-0.003845366,0.000686924,-0.000737344,0.014370843,-0.00416904,0.004922529
2017-04-26,0.016563844,0.007994803,0.00582211,0.008084752,0.006691706,0.010390151,0.012202175
2017-04-27,-0.01090462,-0.000637444,0.018438898,0.014775927,0.003329077,0.010282707,-0.001324006
2017-04-28,0.002093961,-0.002552788,0.038956439,0.001921511,0.011565607,-0.001151372,0.00286618
2017-05-01,-0.012141074,0.002552788,-0.025966821,0.006697327,-0.003702808,0.012341928,-0.00574066
2017-05-02,0.011014128,0.00349998,0.011514901,0.007125704,0.002058853,0.009689692,0.008818136
2017-05-03,-0.005329899,-0.008292113,-0.005740918,-0.004507071,0.001233292,-0.000751606,-0.008375418
2017-05-04,-0.001945461,-0.004815429,-0.001151949,-0.006679867,0.001641988,-0.009191398,-0.003547433
2017-05-05,0.007758647,0.008969931,0.008363835,-0.000239099,0.008169855,0.002527124,0.010165593
2017-05-08,0.003214603,0.003819901,-0.002288746,0.014262207,0.010924585,0.004154312,0.005044305
2017-05-09,-0.006924967,0.000476429,-0.007888834,0.000471933,0.002010528,0.001130268,-0.000656326
2017-05-10,-0.002750913,-0.002225304,-0.003967311,-0.006864805,0.021061517,-0.001255996,0.000218619
2017-05-11,-0.006176762,-0.008630544,-0.001326202,-0.013631514,-0.049576873,-0.007441619,0.001531012
2017-05-12,0,0.006719114,0.000829507,0.006719257,-0.005386543,0,0.003490471
2017-05-15,-0.002612367,0.003342613,0.003969362,-0.00143613,0.008686779,0.006436264,0.001740495
2017-05-16,-0.007548478,-0.01327693,-0.020512805,-0.014961125,-0.007856005,0.002888749,-0.008295155
2017-05-17,-0.007108026,-0.008571403,-0.012035061,-0.024863207,-0.019279983,-0.02591947,-0.009027934
2017-05-18,-0.000331664,0.008410214,0.00017063,0.007202261,0.026312007,0,0.004193791
2017-05-19,0.002320481,-0.003064627,-0.003073898,0.004444447,0.014323856,0.006415175,0.005710828
2017-05-23,0.000496629,0.008365563,-0.00428476,0.011513028,-0.02343373,0.004084387,0.003061264
2017-05-24,0.002644121,0.004156494,0.004968721,0.006926213,0.003322456,-0.005107812,0.000872998
2017-05-25,0.004939031,0.002867712,0.01979918,-0.005099183,0.003724318,0.002812126,0.003918844
2017-05-26,-0.0019727,-0.003665775,-0.012816471,0.001702445,-0.003310201,-0.007432136,-0.001522052
2017-05-29,-0.000658183,0.000638505,-0.002038727,-0.001458962,0.013992109,0.001670833,-0.0045809
2017-05-30,0.00180948,0.007630034,0.002886998,0.006307599,-0.012335784,0.016554555,0.005233553
2017-05-31,0.006063239,-0.002377949,-0.000848271,-0.004848638,-0.020481285,-0.002528856,-0.000870217
2017-06-01,-0.002126152,0.001427571,0.006260275,0.014715014,0.0348585,0.005807532,0.000217565
2017-06-02,0,0.002216555,0.005047229,0.010481384,-0.014790705,0.020803917,-0.003051438
2017-06-05,-0.001146699,-0.003485424,-0.00978092,-0.015041232,-0.01123846,-0.019923394,0.001962533
2017-06-06,0.000327876,0.00364341,-0.000678314,-0.010884091,-0.005877375,-0.004664422,0.001524013
2017-06-07,-0.010211119,-0.006822624,-0.000678538,-0.011742093,0.013383504,-0.008501878,-0.015891856
2017-06-08,0.004129871,-0.000160442,0.002034319,-0.00221698,0.039508589,-0.000510077,0.001785465
2017-06-09,-0.001154643,0.006875906,0.002030404,0.001724794,-0.02712193,-0.009737303,-0.002232484
2017-06-12,0.000164906,0.000318876,-0.00135318,-0.000738909,0.013450524,0.001415262,0
2017-06-13,-0.007240233,-0.000318876,-0.004069829,0.030809227,0.01686122,0.000771132,0.002901628
2017-06-14,-0.002189262,-0.003832029,0.002715138,0.005954346,0.02476997,0.000384869,-0.006484126
2017-06-15,0.000168783,-0.004649829,0.035295828,-0.004760694,-0.02676248,0.001796409,0.009154882
2017-06-16,0.001683979,-0.001608675,-0.010359612,0.003572714,-0.001596816,-0.007075337,0.010392693
2017-06-19,0.003862696,0.011842317,0.019802678,0.00166298,0.018211076,0.011934991,-0.000660092
2017-06-20,-0.004030976,-0.009269813,-0.012063835,-0.00309058,0.004305924,-0.000128061,-0.006403941
2017-06-21,-0.006754384,-0.00466734,0.00588688,0.002853221,-0.000781587,0.001148115,-0.005108351
2017-06-22,-0.001865645,0.003864211,0.001303789,0.001897296,0.008176303,0.008628056,-0.005134766
2017-06-23,0.004403723,0.010231848,0.005521371,0.004964072,0.006954947,0.003279809,0.007581247
2017-06-26,0.001013665,0.008237113,-0.005033247,0.006814499,-0.001541273,-0.000756253,0.001775469
2017-06-27,-0.004568943,-0.008237113,-0.003913631,0.002339224,-0.007743017,-0.003282045,0.003320432
2017-06-28,0.000678248,0.006658212,-0.00310957,0.00535944,0.008968731,0.012939637,0.002207349
2017-06-29,-0.006803,-0.024147502,-0.009717534,-0.001627893,0.001551749,-0.0043784,-0.013765948
2017-06-30,-0.003418451,-0.008615988,-0.006309021,-0.000931915,-0.003883653,-0.007044942,0.000894162
2017-07-04,-0.000856609,-0.010668892,0.000333065,0.002327579,-0.001947443,0.002395882,-0.00447771
2017-07-05,0.003421598,0.005102655,-0.000666303,-0.002094533,-0.004689275,-0.00176428,0.002464999
2017-07-06,-0.003250307,0.003114148,-0.009878868,0.004648177,0.017472874,0.005535565,0.003797901
2017-07-07,-0.004121053,0.00065452,-0.006583759,0.00208472,-0.01825679,0.001253859,-0.003797901
2017-07-10,-0.002583991,0.005057701,-0.00390344,0.008523952,0.013627001,0.028292655,-0.000671248
2017-07-11,-0.001553841,-0.001139954,0.005088149,0.000229137,0,0.011626757,-0.002691368
2017-07-12,0.002243743,0.005685936,-0.007301206,0.004348822,-0.005428516,-0.013577613,0.005821739
2017-07-13,-0.004492255,-0.001783558,-0.007183025,-0.006414808,-0.00741457,-0.018850993,-0.007395149
2017-07-14,0.007074391,0.012899583,0.000514836,0.016412773,-0.002352991,0.040344261,0.005160046
2017-07-17,0.001546341,0.003677747,-0.000686456,-0.009313197,-0.004722493,0.012111328,0.000894529
2017-07-18,-0.002234388,0.004935883,-0.000515102,0.001824083,0.004722493,0.0310254,-0.003358975
2017-07-19,0.003092269,0.016539956,-0.007759293,-0.001367777,-0.006697291,-0.011970632,0.006707074
2017-07-20,0.00683769,0.013499709,-0.000172988,0.004324848,-0.005151051,0.015625121,0.007547343
2017-07-21,-0.002900272,0.015447369,-0.003294983,-0.007523369,0.010276581,0.00193627,0
2017-07-24,-0.00565409,0.002425361,-0.001564733,0.005021665,-0.002756526,-0.002163759,-0.003100679
2017-07-25,-0.000515525,-0.01540945,-0.005232903,-0.002964217,0.003935619,0.010372882,-0.001110105
2017-07-26,0.002060729,-0.004468913,0.000699386,-0.002057448,-0.001179093,-0.012897169,-0.002223115
2017-07-27,0.014307849,0.001851803,0.006792482,0.013185087,0.000786381,0.004355555,0.01194699
2017-07-28,-0.012251259,-0.007737785,-0.005744618,-0.007025508,-0.004726762,-0.002060858,-0.006177055
2017-07-31,0.001881402,0.007120892,-0.00314729,-0.017435855,0.003546877,-0.001720965,-0.003546821
